Date,Sales
2013-01-01,4220
2013-01-02,6069
2013-01-03,5246
2013-01-04,5339
2013-01-05,5774
2013-01-06,10509
2013-01-07,8990
2013-01-08,7300
2013-01-09,6523
2013-01-10,7434
2013-01-11,7132
2013-01-12,5198
2013-01-13,10584
2013-01-14,5616
2013-01-15,5580
2013-01-16,5025
2013-01-17,4973
2013-01-18,5579
2013-01-19,5440
2013-01-20,11390
2013-01-21,8065
2013-01-22,6767
2013-01-23,7495
2013-01-24,6768
2013-01-25,6672
2013-01-26,6010
2013-01-27,7522
2013-01-28,5284
2013-01-29,5100
2013-01-30,5050
2013-01-31,6358
2013-02-01,5967
2013-02-02,6180
2013-02-03,13302
2013-02-04,8018
2013-02-05,7305
2013-02-06,7125
2013-02-07,6621
2013-02-08,6251
2013-02-09,5802
2013-02-10,11899
2013-02-11,5376
2013-02-12,5073
2013-02-13,5121
2013-02-14,5417
2013-02-15,5494
2013-02-16,5275
2013-02-17,11931
2013-02-18,8467
2013-02-19,7169
2013-02-20,7162
2013-02-21,6870
2013-02-22,7092
2013-02-23,5349
2013-02-24,10245
2013-02-25,5187
2013-02-26,4786
2013-02-27,5374
2013-02-28,5970
2013-03-01,6052
2013-03-02,6374
2013-03-03,13081
2013-03-04,8860
2013-03-05,7592
2013-03-06,7161
2013-03-07,6910
2013-03-08,6426
2013-03-09,5099
2013-03-10,10462
2013-03-11,5518
2013-03-12,5326
2013-03-13,4816
2013-03-14,5073
2013-03-15,5869
2013-03-16,5641
2013-03-17,12923
2013-03-18,8473
2013-03-19,6945
2013-03-20,6704
2013-03-21,6341
2013-03-22,6623
2013-03-23,5759
2013-03-24,11431
2013-03-25,8338
2013-03-26,7629
2013-03-27,7561
2013-03-28,9112
2013-03-29,13583
2013-03-30,6928
2013-03-31,8929
2013-04-01,12129
2013-04-02,6012
2013-04-03,5590
2013-04-04,5364
2013-04-05,5486
2013-04-06,5218
2013-04-07,10308
2013-04-08,8193
2013-04-09,6994
2013-04-10,6555
2013-04-11,6295
2013-04-12,7203
2013-04-13,5347
2013-04-14,10214
2013-04-15,5492
2013-04-16,5075
2013-04-17,5223
2013-04-18,4782
2013-04-19,5422
2013-04-20,5313
2013-04-21,11263
2013-04-22,8722
2013-04-23,6862
2013-04-24,6841
2013-04-25,7082
2013-04-26,6431
2013-04-27,4875
2013-04-28,11625
2013-04-29,8667
2013-04-30,8923
2013-05-01,11035
2013-05-02,7578
2013-05-03,7118
2013-05-04,5849
2013-05-05,7796
2013-05-06,5864
2013-05-07,6106
2013-05-08,6684
2013-05-09,11502
2013-05-10,6306
2013-05-11,5950
2013-05-12,11219
2013-05-13,8478
2013-05-14,7241
2013-05-15,7518
2013-05-16,6641
2013-05-17,6717
2013-05-18,6214
2013-05-19,11092
2013-05-20,13493
2013-05-21,6595
2013-05-22,6162
2013-05-23,5538
2013-05-24,6020
2013-05-25,6197
2013-05-26,12705
2013-05-27,8611
2013-05-28,7450
2013-05-29,6591
2013-05-30,7108
2013-05-31,8456
2013-06-01,6182
2013-06-02,13478
2013-06-03,8938
2013-06-04,7130
2013-06-05,6302
2013-06-06,7179
2013-06-07,6800
2013-06-08,5338
2013-06-09,11667
2013-06-10,5581
2013-06-11,5419
2013-06-12,5423
2013-06-13,5314
2013-06-14,5701
2013-06-15,5393
2013-06-16,13986
2013-06-17,8475
2013-06-18,8273
2013-06-19,7715
2013-06-20,6442
2013-06-21,6728
2013-06-22,6071
2013-06-23,13647
2013-06-24,4998
2013-06-25,5385
2013-06-26,5683
2013-06-27,5854
2013-06-28,6708
2013-06-29,6587
2013-06-30,14016
2013-07-01,9180
2013-07-02,8255
2013-07-03,7238
2013-07-04,6630
2013-07-05,6344
2013-07-06,4684
2013-07-07,11606
2013-07-08,6070
2013-07-09,5183
2013-07-10,5408
2013-07-11,5292
2013-07-12,5181
2013-07-13,5237
2013-07-14,13010
2013-07-15,7953
2013-07-16,7077
2013-07-17,6551
2013-07-18,6355
2013-07-19,5770
2013-07-20,5218
2013-07-21,10880
2013-07-22,5489
2013-07-23,5092
2013-07-24,4980
2013-07-25,5110
2013-07-26,5014
2013-07-27,4897
2013-07-28,10728
2013-07-29,8098
2013-07-30,8045
2013-07-31,7975
2013-08-01,7052
2013-08-02,6719
2013-08-03,5481
2013-08-04,14538
2013-08-05,5905
2013-08-06,5675
2013-08-07,5200
2013-08-08,5240
2013-08-09,5428
2013-08-10,5362
2013-08-11,12382
2013-08-12,8656
2013-08-13,7823
2013-08-14,7602
2013-08-15,7106
2013-08-16,6991
2013-08-17,4496
2013-08-18,11884
2013-08-19,5726
2013-08-20,5349
2013-08-21,5042
2013-08-22,4855
2013-08-23,5267
2013-08-24,4829
2013-08-25,11306
2013-08-26,8885
2013-08-27,6598
2013-08-28,7139
2013-08-29,6156
2013-08-30,7207
2013-08-31,5582
2013-09-01,13706
2013-09-02,5734
2013-09-03,5227
2013-09-04,5602
2013-09-05,5223
2013-09-06,5242
2013-09-07,5428
2013-09-08,8383
2013-09-09,7959
2013-09-10,7756
2013-09-11,6800
2013-09-12,6439
2013-09-13,6417
2013-09-14,4951
2013-09-15,12193
2013-09-16,5575
2013-09-17,4940
2013-09-18,4560
2013-09-19,4656
2013-09-20,4949
2013-09-21,4374
2013-09-22,7317
2013-09-23,7262
2013-09-24,6893
2013-09-25,6959
2013-09-26,6629
2013-09-27,6565
2013-09-28,5088
2013-09-29,13267
2013-09-30,6269
2013-10-01,6191
2013-10-02,6623
2013-10-03,13297
2013-10-04,5905
2013-10-05,4823
2013-10-06,9289
2013-10-07,7854
2013-10-08,6135
2013-10-09,6001
2013-10-10,6329
2013-10-11,6373
2013-10-12,5272
2013-10-13,12038
2013-10-14,5194
2013-10-15,4895
2013-10-16,5261
2013-10-17,5178
2013-10-18,5117
2013-10-19,4906
2013-10-20,7310
2013-10-21,7494
2013-10-22,6159
2013-10-23,6317
2013-10-24,5822
2013-10-25,6328
2013-10-26,4680
2013-10-27,11363
2013-10-28,5697
2013-10-29,4843
2013-10-30,5698
2013-10-31,5860
2013-11-01,6032
2013-11-02,5588
2013-11-03,8226
2013-11-04,8776
2013-11-05,7795
2013-11-06,7105
2013-11-07,6578
2013-11-08,6459
2013-11-09,5046
2013-11-10,11525
2013-11-11,5639
2013-11-12,5165
2013-11-13,5327
2013-11-14,5330
2013-11-15,5804
2013-11-16,5985
2013-11-17,13629
2013-11-18,8466
2013-11-19,7868
2013-11-20,7044
2013-11-21,6815
2013-11-22,7078
2013-11-23,5316
2013-11-24,13413
2013-11-25,6360
2013-11-26,5558
2013-11-27,6521
2013-11-28,6535
2013-11-29,6406
2013-11-30,6838
2013-12-01,13087
2013-12-02,9272
2013-12-03,8591
2013-12-04,7979
2013-12-05,9177
2013-12-06,6823
2013-12-07,6015
2013-12-08,7815
2013-12-09,5781
2013-12-10,5777
2013-12-11,6010
2013-12-12,5560
2013-12-13,5714
2013-12-14,6264
2013-12-15,13491
2013-12-16,11113
2013-12-17,9498
2013-12-18,8347
2013-12-19,8730
2013-12-20,8917
2013-12-21,7667
2013-12-22,8094
2013-12-23,8274
2013-12-24,3215
2013-12-25,6138
2013-12-26,8513
2013-12-27,6064
2013-12-28,6061
2013-12-29,12800
2013-12-30,8031
2013-12-31,5324
2014-01-01,4184
2014-01-02,6218
2014-01-03,5851
2014-01-04,6098
2014-01-05,10465
2014-01-06,8393
2014-01-07,7818
2014-01-08,7448
2014-01-09,6162
2014-01-10,7242
2014-01-11,5028
2014-01-12,11480
2014-01-13,5799
2014-01-14,5545
2014-01-15,4770
2014-01-16,4378
2014-01-17,5700
2014-01-18,5541
2014-01-19,11008
2014-01-20,7413
2014-01-21,6791
2014-01-22,6641
2014-01-23,6546
2014-01-24,7044
2014-01-25,4976
2014-01-26,7483
2014-01-27,5161
2014-01-28,5490
2014-01-29,5333
2014-01-30,4734
2014-01-31,7343
2014-02-01,5911
2014-02-02,12576
2014-02-03,8903
2014-02-04,7235
2014-02-05,7107
2014-02-06,6754
2014-02-07,6338
2014-02-08,4890
2014-02-09,11567
2014-02-10,5110
2014-02-11,4857
2014-02-12,5040
2014-02-13,5108
2014-02-14,5582
2014-02-15,4661
2014-02-16,11904
2014-02-17,7236
2014-02-18,6892
2014-02-19,6238
2014-02-20,6228
2014-02-21,6377
2014-02-22,4946
2014-02-23,10835
2014-02-24,5092
2014-02-25,4940
2014-02-26,4691
2014-02-27,4955
2014-02-28,6029
2014-03-01,5941
2014-03-02,12216
2014-03-03,8475
2014-03-04,7721
2014-03-05,6867
2014-03-06,6276
2014-03-07,6443
2014-03-08,5173
2014-03-09,7303
2014-03-10,5339
2014-03-11,5148
2014-03-12,5125
2014-03-13,4701
2014-03-14,5304
2014-03-15,5304
2014-03-16,11889
2014-03-17,7727
2014-03-18,6976
2014-03-19,6664
2014-03-20,6091
2014-03-21,5995
2014-03-22,5296
2014-03-23,11254
2014-03-24,5351
2014-03-25,4744
2014-03-26,5180
2014-03-27,5378
2014-03-28,5417
2014-03-29,5311
2014-03-30,10469
2014-03-31,8989
2014-04-01,7979
2014-04-02,7665
2014-04-03,6537
2014-04-04,7048
2014-04-05,5527
2014-04-06,9793
2014-04-07,5792
2014-04-08,4837
2014-04-09,6141
2014-04-10,5259
2014-04-11,5873
2014-04-12,5371
2014-04-13,10568
2014-04-14,8198
2014-04-15,7753
2014-04-16,7655
2014-04-17,9222
2014-04-18,12603
2014-04-19,6417
2014-04-20,7716
2014-04-21,11476
2014-04-22,5546
2014-04-23,5368
2014-04-24,5376
2014-04-25,5619
2014-04-26,4790
2014-04-27,10874
2014-04-28,8902
2014-04-29,7218
2014-04-30,9281
2014-05-01,11656
2014-05-02,8351
2014-05-03,5885
2014-05-04,8298
2014-05-05,9165
2014-05-06,7453
2014-05-07,7044
2014-05-08,6274
2014-05-09,7179
2014-05-10,5171
2014-05-11,11528
2014-05-12,5613
2014-05-13,5150
2014-05-14,5495
2014-05-15,5239
2014-05-16,5712
2014-05-17,5523
2014-05-18,10400
2014-05-19,8599
2014-05-20,6471
2014-05-21,6450
2014-05-22,7046
2014-05-23,7148
2014-05-24,5741
2014-05-25,11655
2014-05-26,6475
2014-05-27,6057
2014-05-28,7429
2014-05-29,14415
2014-05-30,7055
2014-05-31,5896
2014-06-01,11528
2014-06-02,9424
2014-06-03,7519
2014-06-04,7175
2014-06-05,7078
2014-06-06,7821
2014-06-07,6266
2014-06-08,12346
2014-06-09,12815
2014-06-10,6746
2014-06-11,5957
2014-06-12,5704
2014-06-13,6399
2014-06-14,5081
2014-06-15,12348
2014-06-16,8136
2014-06-17,7201
2014-06-18,7015
2014-06-19,7036
2014-06-20,6962
2014-06-21,5141
2014-06-22,12640
2014-06-23,6179
2014-06-24,5690
2014-06-25,6319
2014-06-26,5991
2014-06-27,6627
2014-06-28,5417
2014-06-29,13465
2014-06-30,9688
2014-07-01,8273
2014-07-02,8513
2014-07-03,7083
2014-07-04,7072
2014-07-05,5872
2014-07-06,13119
2014-07-07,6241
2014-07-08,5920
2014-07-09,6799
2014-07-10,5666
2014-07-11,6327
2014-07-12,5786
2014-07-13,13596
2014-07-14,7293
2014-07-15,7011
2014-07-16,6952
2014-07-17,6874
2014-07-18,6906
2014-07-19,4751
2014-07-20,10696
2014-07-21,5875
2014-07-22,5541
2014-07-23,5388
2014-07-24,5610
2014-07-25,5246
2014-07-26,5033
2014-07-27,11045
2014-07-28,7915
2014-07-29,7078
2014-07-30,7207
2014-07-31,8121
2014-08-01,7855
2014-08-02,5845
2014-08-03,12265
2014-08-04,8779
2014-08-05,7055
2014-08-06,7098
2014-08-07,6605
2014-08-08,6565
2014-08-09,5242
2014-08-10,12129
2014-08-11,6113
2014-08-12,5729
2014-08-13,6111
2014-08-14,5290
2014-08-15,5632
2014-08-16,4420
2014-08-17,11707
2014-08-18,8270
2014-08-19,7415
2014-08-20,6514
2014-08-21,6506
2014-08-22,6658
2014-08-23,5460
2014-08-24,12063
2014-08-25,6306
2014-08-26,5693
2014-08-27,5146
2014-08-28,6016
2014-08-29,6336
2014-08-30,5795
2014-08-31,14336
2014-09-01,9215
2014-09-02,7576
2014-09-03,7475
2014-09-04,6490
2014-09-05,6727
2014-09-06,5170
2014-09-07,8080
2014-09-08,5962
2014-09-09,5318
2014-09-10,5329
2014-09-11,5659
2014-09-12,5446
2014-09-13,5082
2014-09-14,12609
2014-09-15,7614
2014-09-16,6651
2014-09-17,6559
2014-09-18,5971
2014-09-19,6650
2014-09-20,5183
2014-09-21,11875
2014-09-22,5641
2014-09-23,5052
2014-09-24,4773
2014-09-25,5202
2014-09-26,6038
2014-09-27,5260
2014-09-28,11147
2014-09-29,8273
2014-09-30,8594
2014-10-01,7653
2014-10-02,8067
2014-10-03,13076
2014-10-04,6511
2014-10-05,7923
2014-10-06,8206
2014-10-07,7174
2014-10-08,6685
2014-10-09,6887
2014-10-10,7435
2014-10-11,6096
2014-10-12,13117
2014-10-13,6414
2014-10-14,5827
2014-10-15,5185
2014-10-16,6304
2014-10-17,6711
2014-10-18,4563
2014-10-19,10221
2014-10-20,8521
2014-10-21,6780
2014-10-22,6518
2014-10-23,6913
2014-10-24,6956
2014-10-25,5209
2014-10-26,10524
2014-10-27,5708
2014-10-28,5977
2014-10-29,5227
2014-10-30,5862
2014-10-31,6722
2014-11-01,5865
2014-11-02,11557
2014-11-03,8670
2014-11-04,7020
2014-11-05,6855
2014-11-06,5491
2014-11-07,6856
2014-11-08,5201
2014-11-09,7487
2014-11-10,8308
2014-11-11,6606
2014-11-12,6883
2014-11-13,6702
2014-11-14,6970
2014-11-15,5552
2014-11-16,12932
2014-11-17,6051
2014-11-18,6086
2014-11-19,6061
2014-11-20,5395
2014-11-21,6193
2014-11-22,5787
2014-11-23,12060
2014-11-24,8259
2014-11-25,7636
2014-11-26,7496
2014-11-27,7719
2014-11-28,8836
2014-11-29,7461
2014-11-30,15386
2014-12-01,9096
2014-12-02,7245
2014-12-03,9119
2014-12-04,8249
2014-12-05,9835
2014-12-06,6101
2014-12-07,8394
2014-12-08,6960
2014-12-09,5821
2014-12-10,5683
2014-12-11,6044
2014-12-12,6610
2014-12-13,6764
2014-12-14,13194
2014-12-15,9509
2014-12-16,8282
2014-12-17,8513
2014-12-18,8765
2014-12-19,8671
2014-12-20,7533
2014-12-21,8739
2014-12-22,8088
2014-12-23,8532
2014-12-24,3609
2014-12-25,7612
2014-12-26,9741
2014-12-27,5686
2014-12-28,11914
2014-12-29,6665
2014-12-30,8490
2014-12-31,5377
2015-01-01,4576
2015-01-02,6252
2015-01-03,5951
2015-01-04,9957
2015-01-05,8482
2015-01-06,6854
2015-01-07,6930
2015-01-08,6429
2015-01-09,6974
2015-01-10,5760
2015-01-11,10876
2015-01-12,7967
2015-01-13,6673
2015-01-14,7048
2015-01-15,6284
2015-01-16,7343
2015-01-17,4068
2015-01-18,11754
2015-01-19,6038
2015-01-20,5057
2015-01-21,5877
2015-01-22,5937
2015-01-23,5704
2015-01-24,5137
2015-01-25,7459
2015-01-26,7583
2015-01-27,7161
2015-01-28,6613
2015-01-29,6168
2015-01-30,7499
2015-01-31,6737
2015-02-01,13899
2015-02-02,8625
2015-02-03,7101
2015-02-04,6797
2015-02-05,6083
2015-02-06,6975
2015-02-07,5707
2015-02-08,11453
2015-02-09,5957
2015-02-10,5312
2015-02-11,5556
2015-02-12,5710
2015-02-13,5810
2015-02-14,5591
2015-02-15,12273
2015-02-16,8644
2015-02-17,7141
2015-02-18,6553
2015-02-19,6447
2015-02-20,6708
2015-02-21,5444
2015-02-22,12454
2015-02-23,6250
2015-02-24,5425
2015-02-25,6278
2015-02-26,6205
2015-02-27,7026
2015-02-28,6146
2015-03-01,15153
2015-03-02,8484
2015-03-03,7571
2015-03-04,7826
2015-03-05,6613
2015-03-06,7086
2015-03-07,5279
2015-03-08,7638
2015-03-09,6367
2015-03-10,5954
2015-03-11,5680
2015-03-12,5689
2015-03-13,5946
2015-03-14,5538
2015-03-15,12554
2015-03-16,8318
2015-03-17,7002
2015-03-18,6749
2015-03-19,6390
2015-03-20,6912
2015-03-21,5460
2015-03-22,12561
2015-03-23,6441
2015-03-24,5333
2015-03-25,5348
2015-03-26,5833
2015-03-27,6524
2015-03-28,6508
2015-03-29,10433
2015-03-30,9651
2015-03-31,9013
2015-04-01,9980
2015-04-02,10449
2015-04-03,13738
2015-04-04,7141
2015-04-05,10110
2015-04-06,11675
2015-04-07,6636
2015-04-08,6363
2015-04-09,5434
2015-04-10,6162
2015-04-11,5073
2015-04-12,12072
2015-04-13,8583
2015-04-14,7525
2015-04-15,7509
2015-04-16,7611
2015-04-17,8591
2015-04-18,5201
2015-04-19,10711
2015-04-20,6433
2015-04-21,5723
2015-04-22,4652
2015-04-23,4491
2015-04-24,6847
2015-04-25,5460
2015-04-26,11850
2015-04-27,8744
2015-04-28,7712
2015-04-29,7349
2015-04-30,9697
2015-05-01,11360
2015-05-02,6463
2015-05-03,7896
2015-05-04,8766
2015-05-05,6618
2015-05-06,6592
2015-05-07,6363
2015-05-08,6171
2015-05-09,4702
2015-05-10,13336
2015-05-11,5943
2015-05-12,5274
2015-05-13,7121
2015-05-14,14501
2015-05-15,5902
2015-05-16,5458
2015-05-17,11456
2015-05-18,8118
2015-05-19,7003
2015-05-20,5674
2015-05-21,5894
2015-05-22,6621
2015-05-23,5141
2015-05-24,11124
2015-05-25,13018
2015-05-26,6888
2015-05-27,6272
2015-05-28,5399
2015-05-29,6678
2015-05-30,5958
2015-05-31,12040
